,ID,dict_param,wallet,algo_percentage,perf_algo_vs_hold,nb_Good_trade,Average_Good_trade,Best_trade,nb_Bad_trade,Average_Bad_trade,Worst_trade,worst_draw_back,total_fee
26,585.0,"{'stoch_top': 0.25, 'stoch_bottom': 0.8, 'trix_length': 5, 'trix_signal': 18, 'signal_stoch_rsi': 11}",2647.5836938699485,164.75836938699487,-457.7423959043192,293.0,2.23,35.64,672.0,-0.77,-13.26,-49.0,531.36
27,586.0,"{'stoch_top': 0.418, 'stoch_bottom': 0.998, 'trix_length': 5, 'trix_signal': 18, 'signal_stoch_rsi': 10}",2186.5678079979625,118.65678079979625,-357.6413035134311,274.0,2.92,33.44,679.0,-0.98,-21.78,-56.99999999999999,492.72
28,587.0,"{'stoch_top': 0.54, 'stoch_bottom': 0.998, 'trix_length': 5, 'trix_signal': 18, 'signal_stoch_rsi': 10}",2391.699045032952,139.16990450329521,-402.1817663043347,274.0,3.07,30.61,696.0,-1.0,-21.78,-57.99999999999999,505.68
29,588.0,"{'stoch_top': 0.5, 'stoch_bottom': 0.964, 'trix_length': 5, 'trix_signal': 18, 'signal_stoch_rsi': 10}",3352.6887350630855,235.26887350630855,-610.8429441430281,290.0,3.06,33.44,733.0,-0.96,-21.78,-56.99999999999999,659.37
30,589.0,"{'stoch_top': 0.5, 'stoch_bottom': 0.998, 'trix_length': 5, 'trix_signal': 13, 'signal_stoch_rsi': 10}",884.181513321163,-11.581848667883696,-74.85215284136568,219.0,3.44,36.33,554.0,-1.26,-37.18,-65.0,206.29
31,590.0,"{'stoch_top': 0.5, 'stoch_bottom': 0.998, 'trix_length': 5, 'trix_signal': 19, 'signal_stoch_rsi': 10}",2700.916004151614,170.0916004151614,-469.3225229292845,279.0,3.12,33.44,718.0,-0.99,-21.78,-57.99999999999999,525.62
32,591.0,"{'stoch_top': 0.5, 'stoch_bottom': 0.998, 'trix_length': 5, 'trix_signal': 18, 'signal_stoch_rsi': 11}",1470.3055612345197,47.03055612345197,-202.11817397146638,196.0,3.73,33.44,510.0,-1.23,-37.18,-62.0,277.19
33,592.0,"{'stoch_top': 0.5, 'stoch_bottom': 0.8, 'trix_length': 4, 'trix_signal': 20, 'signal_stoch_rsi': 10}",1337.1548122104405,33.715481221044044,-173.20694588056202,292.0,2.7,17.52,715.0,-0.98,-37.18,-61.0,372.83
34,593.0,"{'stoch_top': 0.5, 'stoch_bottom': 0.8, 'trix_length': 5, 'trix_signal': 23, 'signal_stoch_rsi': 10}",5723.28137199728,472.328137199728,-1125.5733901927804,371.0,2.56,25.1,950.0,-0.76,-21.78,-43.0,1176.41
35,594.0,"{'stoch_top': 0.5, 'stoch_bottom': 0.8, 'trix_length': 5, 'trix_signal': 20, 'signal_stoch_rsi': 9}",4172.48958857967,317.24895885796707,-788.8475715210525,409.0,2.3,20.13,1082.0,-0.69,-20.78,-46.0,1017.98
36,595.0,"{'stoch_top': 0.5, 'stoch_bottom': 0.8, 'trix_length': 5, 'trix_signal': 20, 'signal_stoch_rsi': 11}",2576.6138669180086,157.66138669180086,-442.3326076033274,327.0,2.62,34.49,848.0,-0.84,-21.78,-62.0,607.36
0,597.0,"{'stoch_top': 0.228, 'stoch_bottom': 0.2, 'trix_length': 22, 'trix_signal': 10, 'signal_stoch_rsi': 10}",1644.2867834034498,64.42867834034499,-239.89498585219118,174.0,3.03,22.5,651.0,-0.68,-20.53,-52.0,380.26
1,598.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.8, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 11}",3879.725823460163,287.97258234601634,-725.2793223586588,347.0,2.14,24.8,802.0,-0.71,-12.17,-30.0,897.84
2,599.0,"{'stoch_top': 0.228, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 10}",2894.21351862919,189.42135186291898,-511.29351123709677,393.0,1.33,22.5,992.0,-0.4,-11.62,-28.999999999999996,782.68
3,600.0,"{'stoch_top': 0.156, 'stoch_bottom': 0.2, 'trix_length': 22, 'trix_signal': 10, 'signal_stoch_rsi': 10}",1726.4603917376633,72.64603917376633,-257.7374685345338,173.0,3.03,22.5,650.0,-0.67,-20.53,-52.0,395.95
4,601.0,"{'stoch_top': 0.232, 'stoch_bottom': 0.2, 'trix_length': 22, 'trix_signal': 10, 'signal_stoch_rsi': 10}",1631.0194220175574,63.10194220175575,-237.0142231527442,174.0,3.03,22.5,651.0,-0.68,-20.53,-52.0,379.89
5,602.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.194, 'trix_length': 22, 'trix_signal': 10, 'signal_stoch_rsi': 10}",1650.2292755990138,65.02292755990138,-241.18528837435943,174.0,3.02,22.5,651.0,-0.68,-20.53,-54.0,379.28
6,603.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.216, 'trix_length': 22, 'trix_signal': 10, 'signal_stoch_rsi': 10}",1475.4679067974303,47.546790679743026,-203.23908204856912,175.0,2.98,22.5,650.0,-0.69,-20.53,-54.0,347.95
7,604.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.2, 'trix_length': 22, 'trix_signal': 10, 'signal_stoch_rsi': 8}",1887.3005132414671,88.73005132414671,-292.6609329014095,170.0,3.3,22.58,655.0,-0.71,-21.05,-46.0,426.75
8,605.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.2, 'trix_length': 22, 'trix_signal': 10, 'signal_stoch_rsi': 13}",1122.290684835766,12.229068483576588,-126.55316555553394,168.0,2.71,19.97,643.0,-0.65,-11.23,-51.0,329.8
9,606.0,"{'stoch_top': 0.19, 'stoch_bottom': 0.8, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 10}",3713.7452301904264,271.37452301904267,-689.2396994060522,362.0,2.05,24.8,857.0,-0.67,-12.74,-36.0,853.09
10,607.0,"{'stoch_top': 0.202, 'stoch_bottom': 0.8, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 10}",3791.3794525616163,279.13794525616163,-706.0965381927987,364.0,2.06,24.8,865.0,-0.67,-12.74,-36.0,888.81
11,608.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.574, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 10}",2718.8360443852184,171.88360443852184,-473.2135289836195,385.0,1.79,23.92,918.0,-0.6,-12.68,-36.0,752.92
